period,channel,avg_attr_rev_14d,avg_spend
non_promo,affiliate_spend,4977.688364713602,1128.9789399999997
non_promo,display_spend,7434.592320722657,1696.8642999999988
non_promo,email_spend,2482.079458116326,564.4099199999995
non_promo,paid_search_spend,14982.557111078091,3402.742119999999
non_promo,paid_social_spend,12462.694881302785,2826.6207399999985
non_promo,tv_spend,9922.963057886205,2261.988580000003
promo,affiliate_spend,5710.88637454312,1126.9996280991734
promo,display_spend,8544.422088590267,1675.0577272727273
promo,email_spend,2846.5028309295312,560.4618181818182
promo,paid_search_spend,17188.13588027715,3382.075867768599
promo,paid_social_spend,14303.538810079699,2826.637231404959
promo,tv_spend,11381.62864463993,2226.551818181819
